GenreCorrected,Count
spy|action|comedy,1
spy|comedy,5
spy|drama,8
spy|mystery,1
spy|thriller,6
spy|war,1
superhero,61
superhero|action,3
superhero|action|adventure,3
superhero|action|adventure|fantasy|drama|war,1
superhero|action|adventure|fantasy|science_fiction,1
superhero|action|adventure|fantasy|science_fiction|comedy,1
superhero|biography,2
superhero|biography|romance|drama,1
superhero|comedy,2
superhero|comedy|adventure|science_fiction,1
superhero|drama,1
superhero|dramaset  years ago in the canadian arctic,1
superhero|history,2
superhero|patriotism,1
superhero|science_fiction,1
superhero|western,2
suspense,105
suspense|comedy,1
suspense|crime,1
suspense|drama,1
suspense|thriller,18
teen,2
teen|comedy,2
thriller,1033
thriller|action,4
thriller|action|drama,1
thriller|action|romance,1
thriller|action|romance|musical,1
thriller|adventure,1
thriller|animation,1
thriller|comedy,4
thriller|comedy|mystery,1
thriller|crime,3
thriller|drama,22
thriller|drama|mystery,1
thriller|drama|science_fiction,1
thriller|fantasy,3
thriller|horror,6
thriller|musical,1
thriller|mystery,4
thriller|mystery|romance,1
thriller|romance,8
thriller|romance|musical,1
thriller|science_fiction|action,1
thriller|social,1
thriller|spy,1
thriller|suspense,1
thriller|suspense|crime,1
thriller|western,2
unknown,6083
viacom 8 motion pictures,1
war,356
waraction,1
warbiography,1
warcomedy,15
wardocumentary,2
warfamily|drama,1
warpropaganda,1
warromance,2
warshort,1
warspy,1
war|action,3
war|adventure,2
war|biker,1
war|biography,4
war|comedy,4
war|drama,90
war|dramapropaganda,1
war|drama|action|romance,1
war|drama|history,1
war|history,2
war|horror,1
war|pow,4
war|romance,3
war|satire,1
war|science_fiction,1
war|spy,2
war|thriller,1
war|western,1
western,869
westerncomedy,16
westerndrama,3
westernmusical,1
westernromance,1
westernserial,2
westernthriller,1
western|animation,1
western|biography,7
western|comedy,12
western|drama,1
western|horror,2
western|musical,3
western|mystery,1
western|noir,1
western|romance,2
western|romance|drama,1
western|serial,2
western|war,2
wime romance|drama,1
wimedrama,1
wuxia,9
wuxia|comedy,2
wuxia|history|romance,1
wuxia|romance,1
ww propaganda,1
wwiidrama,1
yakuza,4
yakuza ,1
yash dasgupta|mimi chakraborty,1
yash raj s,2
yeh saali zindagi,1
yogesh dattatraya gosavi's directorial debut [9],1
youth,1
youth musical|drama,1
youthdrama,1
youth|romance,1
yuen laikei,1
zombiecomedy,2
zombiehorror,2
|,1
|action,8
|action|adventure,1
|action|biography,1
|action|biography|history,1
|action|comedy,2
|action|comedy|prison,1
|action|drama,2
|action|fantasy,1
|action|romance|comedy,1
|action|thriller,1
|action|war|history,1
|action|wuxia,1
|comedy,3
|crime,1
|horror|comedy,1
|suspense|romance,1
|thriller,1
||,1
